task,model,rank,selected_for_goal1,evidence_score,goal1_fit_score,integration_score,calibration_score,rationale,limitation,source,total_score
biosignal_wearable,BIOT,1,True,5,5,4,3,"Best for heterogeneous wearable/BCI streams because it was built for mismatched channels, variable lengths, and missing biosignal values.",Does not directly solve glucose forecasting or EHR timeline modeling.,https://papers.neurips.cc/paper_files/paper/2023/hash/f6b30f3e2dd9cb53bbf2024402d02295-Abstract-Conference.html,17
biosignal_wearable,MOMENT,2,False,5,4,5,3,"Best open general time-series foundation fallback across classification, forecasting, imputation, and anomaly detection.",Generic time-series model; less biosignal-specific than BIOT for EEG/EDA/PPG mixtures.,https://arxiv.org/abs/2402.03885,17
cgm_glucose,GluFormer,1,True,5,5,2,3,Transformer foundation model trained on large-scale CGM data; the strongest fit for glucose forecasting when weights/data access are available.,Weights/data access are gated; not guaranteed reproducible without the source cohort.,https://www.nature.com/articles/s41586-025-09925-9,15
cgm_glucose,Conformalized Ridge baseline,2,True,3,4,5,5,Always-runnable forecasting baseline in this repo: split-conformal prediction intervals give distribution-free coverage when GluFormer access is unavailable.,Linear baseline; lower ceiling than a CGM foundation model on long-horizon dynamics.,https://arxiv.org/abs/2107.07511,17
eeg_bci,EEG-X,1,True,5,5,3,3,"Best fit for Galea/EMOTIV because it is designed for varying channel counts, channel combinations, recording lengths, and noisy cross-device EEG.",Recent preprint; integration depends on released weights/code maturity.,https://arxiv.org/abs/2511.08861,16
eeg_bci,LaBraM,2,False,5,4,4,3,Strong BCI foundation model trained for generic EEG representations; good benchmark for DEAP/BCI transfer once weight integration is available.,Less explicitly device-agnostic than EEG-X for Galea-vs-EMOTIV channel mismatch.,https://arxiv.org/abs/2405.18765,16
eeg_bci,EEGPT,3,False,4,4,4,3,Strong universal EEG representation model and useful comparison for DEAP arousal.,Selection is weaker than EEG-X for noisy device-agnostic deployment.,https://proceedings.neurips.cc/paper_files/paper/2024/file/4540d267eeec4e5dbd9dae9448f0b739-Paper-Conference.pdf,15
ehr_timeline,Med-BERT / BEHRT,1,True,5,4,4,3,Established transformer encoders for structured EHR code sequences; best fit for the MIMIC-IV demo concept timelines used in Goal 1.,Structured-code focus; does not model free-text notes directly.,https://arxiv.org/abs/1904.05342,16
ehr_timeline,NYUTron / Foresight,2,False,4,4,3,3,Note/concept timeline models that add clinical-text reasoning over the structured baseline.,Heavier text pipeline; less aligned with the demo's code-only event stream.,https://www.nature.com/articles/s41586-023-06160-y,14
wearable_llm_insight,PHIA,1,True,4,5,4,2,LLM agent with code execution and retrieval over wearable time-series questions; best reference for turning deterministic model outputs into explainable insights.,"Agent layer should explain, not replace, the deterministic signal pipeline.",https://pmc.ncbi.nlm.nih.gov/articles/PMC12855967/,15
wearable_llm_insight,Health-LLM / HealthAlpaca,2,False,4,4,4,2,Instruction-tuned health prediction baseline for comparison against an agentic insight layer.,Prompted prediction is harder to calibrate and audit than the deterministic baselines.,https://arxiv.org/abs/2401.06866,14
