modality,selected,rank,evidence_basis,why_for_goal1,source
wearable_llm_agent,PHIA,1,LLM agent with code execution and retrieval over wearable time-series questions.,Best reference for turning model outputs into explainable personal health insights after deterministic analytics run.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12855967/
wearable_llm_prediction,Health-LLM / HealthAlpaca,1,Wearable health-prediction benchmark across multiple LLMs and task types.,"Best reference for LLM-conditioned wearable prediction; use after numerical encoders, not instead of them.",https://arxiv.org/abs/2401.06866
personal_health_llm,PH-LLM,1,Fine-tuned Gemini model for personal-health reasoning over numerical wearable time-series.,Best reference for multimodal encoding of wearable summaries into an LLM interface.,https://arxiv.org/abs/2406.06474
eeg_bci,EEG-X,1,Device-agnostic channel embeddings and noise-aware reconstruction for cross-device EEG.,"Most relevant for Galea plus EMOTIV because channel layouts, devices, and noise profiles differ.",https://arxiv.org/abs/2511.08861
eeg_bci,LaBraM,2,Large EEG foundation model for generic BCI representations.,Strong benchmark if EEG-X weights are unavailable or if large-scale EEG transfer is the experiment focus.,https://arxiv.org/abs/2405.18765
biosignal,BIOT,1,"Biosignal Transformer built for mismatched channels, variable lengths, and missing values.",Best fit for heterogeneous EEG/ECG/EDA/PPG/activity streams before multimodal fusion.,https://arxiv.org/abs/2305.10351
time_series,MOMENT,1,"Open time-series foundation model covering classification, forecasting, anomaly detection, and imputation.",Best general fallback for physiology channels when a biosignal-specific encoder is not available.,https://arxiv.org/abs/2402.03885
cgm,GluFormer,1,CGM foundation model trained on over 10M glucose measurements and validated across external cohorts.,Best match for glucose instability and personalized diabetes-risk representation learning.,https://www.nature.com/articles/s41586-025-09925-9
cgm,SSM-CGM,2,Interpretable Mamba/state-space CGM forecasting with activity signals and temporal attribution.,Best implementable direction for real-time glucose forecasting and explainable counterfactuals.,https://arxiv.org/abs/2510.04386
ehr_structured,Med-BERT / BEHRT,1,"Transformer pretraining over tokenized structured EHR visit sequences (diagnoses, codes, demographics).",Best fit for turning longitudinal coded EHR events into patient embeddings before multimodal fusion.,https://arxiv.org/abs/1904.05342
ehr_timeline,NYUTron / Foresight,2,Clinical-text and concept-timeline language models for outcome and trajectory prediction.,Best reference when notes or free-text concept sequences are available alongside structured EHR.,https://www.nature.com/articles/s41586-023-06160-y
